Nao-Terminal,Conjunto FIRST,Conjunto FOLLOW
ArgList,"CADEIA, EPSILON, FALSO, ID, LPAREN, MENOS, NAO, NUM_INT, NUM_REAL, VERDADEIRO",RPAREN
ArgList_,"EPSILON, VIRGULA",RPAREN
Block,LBRACE,"BOOLEANO, DO, EOF, FOR, FUNCAO, ID, INTEIRO, LBRACE, MAIN, RBRACE, REAL, RETORNO, SE, SENAO, TEXTO, WHILE"
Chamada,ID,
Decl,"BOOLEANO, FUNCAO, INTEIRO, MAIN, REAL, TEXTO","BOOLEANO, EOF, FUNCAO, INTEIRO, MAIN, REAL, TEXTO"
DeclList,"BOOLEANO, FUNCAO, INTEIRO, MAIN, REAL, TEXTO",EOF
DeclList_,"BOOLEANO, EPSILON, FUNCAO, INTEIRO, MAIN, REAL, TEXTO",EOF
ElsePart,"EPSILON, SENAO","BOOLEANO, DO, FOR, ID, INTEIRO, LBRACE, RBRACE, REAL, RETORNO, SE, TEXTO, WHILE"
Expr,"CADEIA, FALSO, ID, LPAREN, MENOS, NAO, NUM_INT, NUM_REAL, VERDADEIRO","PONTOEVIRG, RPAREN, VIRGULA"
ExprAdd,"CADEIA, FALSO, ID, LPAREN, MENOS, NAO, NUM_INT, NUM_REAL, VERDADEIRO","DIFERENTE, E_LOGICO, IGUALDADE, MAIOR, MAIORIGUAL, MENOR, MENORIGUAL, OU_LOGICO, PONTOEVIRG, RPAREN, VIRGULA"
ExprAdd_,"EPSILON, MAIS, MENOS","DIFERENTE, E_LOGICO, IGUALDADE, MAIOR, MAIORIGUAL, MENOR, MENORIGUAL, OU_LOGICO, PONTOEVIRG, RPAREN, VIRGULA"
ExprAnd,"CADEIA, FALSO, ID, LPAREN, MENOS, NAO, NUM_INT, NUM_REAL, VERDADEIRO","OU_LOGICO, PONTOEVIRG, RPAREN, VIRGULA"
ExprAnd_,"EPSILON, E_LOGICO","OU_LOGICO, PONTOEVIRG, RPAREN, VIRGULA"
ExprEq,"CADEIA, FALSO, ID, LPAREN, MENOS, NAO, NUM_INT, NUM_REAL, VERDADEIRO","E_LOGICO, OU_LOGICO, PONTOEVIRG, RPAREN, VIRGULA"
ExprEq_,"DIFERENTE, EPSILON, IGUALDADE","E_LOGICO, OU_LOGICO, PONTOEVIRG, RPAREN, VIRGULA"
