Nao-Terminal,BOOLEANO,CADEIA,DECR,DIFERENTE,DIV,DO,EOF,E_LOGICO,FALSO,FOR,FUNCAO,ID,IGUAL,IGUALDADE,INCR,INTEIRO,LBRACE,LPAREN,MAIN,MAIOR,MAIORIGUAL,MAIS,MENOR,MENORIGUAL,MENOS,MOD,MULT,NAO,NUM_INT,NUM_REAL,OU_LOGICO,PONTOEVIRG,RBRACE,REAL,RETORNO,RPAREN,SE,SENAO,TEXTO,VERDADEIRO,VIRGULA,WHILE
ArgList,,ArgList -> Expr ArgList_,,,,,,,ArgList -> Expr ArgList_,,,ArgList -> Expr ArgList_,,,,,,ArgList -> Expr ArgList_,,,,,,,ArgList -> Expr ArgList_,,,ArgList -> Expr ArgList_,ArgList -> Expr ArgList_,ArgList -> Expr ArgList_,,,,,,ArgList -> [],,,,ArgList -> Expr ArgList_,,
ArgList_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgList_ -> [],,,,,ArgList_ -> VIRGULA Expr ArgList_,
Block,,,,,,,,,,,,,,,,,Block -> LBRACE StmtList RBRACE,,,,,,,,,,,,,,,,,,,,,,,,,
Chamada,,,,,,,,,,,,Chamada -> ID LPAREN ArgList RPAREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decl,Decl -> VarDecl,,,,,,,,,,Decl -> FuncDecl,,,,,Decl -> VarDecl,,,Decl -> MainDecl,,,,,,,,,,,,,,,Decl -> VarDecl,,,,,Decl -> VarDecl,,,
DeclList,DeclList -> Decl DeclList_,,,,,,,,,,DeclList -> Decl DeclList_,,,,,DeclList -> Decl DeclList_,,,DeclList -> Decl DeclList_,,,,,,,,,,,,,,,DeclList -> Decl DeclList_,,,,,DeclList -> Decl DeclList_,,,
DeclList_,DeclList_ -> Decl DeclList_,,,,,,DeclList_ -> [],,,,DeclList_ -> Decl DeclList_,,,,,DeclList_ -> Decl DeclList_,,,DeclList_ -> Decl DeclList_,,,,,,,,,,,,,,,DeclList_ -> Decl DeclList_,,,,,DeclList_ -> Decl DeclList_,,,
ElsePart,ElsePart -> [],,,,,ElsePart -> [],,,,ElsePart -> [],,ElsePart -> [],,,,ElsePart -> [],ElsePart -> [],,,,,,,,,,,,,,,,ElsePart -> [],ElsePart -> [],ElsePart -> [],,ElsePart -> [],ElsePart -> SENAO MatchedStmt,ElsePart -> [],,,ElsePart -> []
Expr,,Expr -> ExprOr,,,,,,,Expr -> ExprOr,,,Expr -> ExprOr,,,,,,Expr -> ExprOr,,,,,,,Expr -> ExprOr,,,Expr -> ExprOr,Expr -> ExprOr,Expr -> ExprOr,,,,,,,,,,Expr -> ExprOr,,
ExprAdd,,ExprAdd -> ExprMul ExprAdd_,,,,,,,ExprAdd -> ExprMul ExprAdd_,,,ExprAdd -> ExprMul ExprAdd_,,,,,,ExprAdd -> ExprMul ExprAdd_,,,,,,,ExprAdd -> ExprMul ExprAdd_,,,ExprAdd -> ExprMul ExprAdd_,ExprAdd -> ExprMul ExprAdd_,ExprAdd -> ExprMul ExprAdd_,,,,,,,,,,ExprAdd -> ExprMul ExprAdd_,,
ExprAdd_,,,,ExprAdd_ -> [],,,,ExprAdd_ -> [],,,,,,ExprAdd_ -> [],,,,,,ExprAdd_ -> [],ExprAdd_ -> [],ExprAdd_ -> MAIS ExprMul ExprAdd_,ExprAdd_ -> [],ExprAdd_ -> [],ExprAdd_ -> MENOS ExprMul ExprAdd_,,,,,,ExprAdd_ -> [],ExprAdd_ -> [],,,,ExprAdd_ -> [],,,,,ExprAdd_ -> [],
ExprAnd,,ExprAnd -> ExprEq ExprAnd_,,,,,,,ExprAnd -> ExprEq ExprAnd_,,,ExprAnd -> ExprEq ExprAnd_,,,,,,ExprAnd -> ExprEq ExprAnd_,,,,,,,ExprAnd -> ExprEq ExprAnd_,,,ExprAnd -> ExprEq ExprAnd_,ExprAnd -> ExprEq ExprAnd_,ExprAnd -> ExprEq ExprAnd_,,,,,,,,,,ExprAnd -> ExprEq ExprAnd_,,
ExprAnd_,,,,,,,,ExprAnd_ -> E_LOGICO ExprEq ExprAnd_,,,,,,,,,,,,,,,,,,,,,,,ExprAnd_ -> [],ExprAnd_ -> [],,,,ExprAnd_ -> [],,,,,ExprAnd_ -> [],
ExprEq,,ExprEq -> ExprRel ExprEq_,,,,,,,ExprEq -> ExprRel ExprEq_,,,ExprEq -> ExprRel ExprEq_,,,,,,ExprEq -> ExprRel ExprEq_,,,,,,,ExprEq -> ExprRel ExprEq_,,,ExprEq -> ExprRel ExprEq_,ExprEq -> ExprRel ExprEq_,ExprEq -> ExprRel ExprEq_,,,,,,,,,,ExprEq -> ExprRel ExprEq_,,
ExprEq_,,,,ExprEq_ -> DIFERENTE ExprRel ExprEq_,,,,ExprEq_ -> [],,,,,,ExprEq_ -> IGUALDADE ExprRel ExprEq_,,,,,,,,,,,,,,,,,ExprEq_ -> [],ExprEq_ -> [],,,,ExprEq_ -> [],,,,,ExprEq_ -> [],
ExprMul,,ExprMul -> ExprUnary ExprMul_,,,,,,,ExprMul -> ExprUnary ExprMul_,,,ExprMul -> ExprUnary ExprMul_,,,,,,ExprMul -> ExprUnary ExprMul_,,,,,,,ExprMul -> ExprUnary ExprMul_,,,ExprMul -> ExprUnary ExprMul_,ExprMul -> ExprUnary ExprMul_,ExprMul -> ExprUnary ExprMul_,,,,,,,,,,ExprMul -> ExprUnary ExprMul_,,
ExprMul_,,,,ExprMul_ -> [],ExprMul_ -> DIV ExprUnary ExprMul_,,,ExprMul_ -> [],,,,,,ExprMul_ -> [],,,,,,ExprMul_ -> [],ExprMul_ -> [],ExprMul_ -> [],ExprMul_ -> [],ExprMul_ -> [],ExprMul_ -> [],ExprMul_ -> MOD ExprUnary ExprMul_,ExprMul_ -> MULT ExprUnary ExprMul_,,,,ExprMul_ -> [],ExprMul_ -> [],,,,ExprMul_ -> [],,,,,ExprMul_ -> [],
ExprOr,,ExprOr -> ExprAnd ExprOr_,,,,,,,ExprOr -> ExprAnd ExprOr_,,,ExprOr -> ExprAnd ExprOr_,,,,,,ExprOr -> ExprAnd ExprOr_,,,,,,,ExprOr -> ExprAnd ExprOr_,,,ExprOr -> ExprAnd ExprOr_,ExprOr -> ExprAnd ExprOr_,ExprOr -> ExprAnd ExprOr_,,,,,,,,,,ExprOr -> ExprAnd ExprOr_,,
ExprOr_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ExprOr_ -> OU_LOGICO ExprAnd ExprOr_,ExprOr_ -> [],,,,ExprOr_ -> [],,,,,ExprOr_ -> [],
ExprRel,,ExprRel -> ExprAdd ExprRel_,,,,,,,ExprRel -> ExprAdd ExprRel_,,,ExprRel -> ExprAdd ExprRel_,,,,,,ExprRel -> ExprAdd ExprRel_,,,,,,,ExprRel -> ExprAdd ExprRel_,,,ExprRel -> ExprAdd ExprRel_,ExprRel -> ExprAdd ExprRel_,ExprRel -> ExprAdd ExprRel_,,,,,,,,,,ExprRel -> ExprAdd ExprRel_,,
ExprRel_,,,,ExprRel_ -> [],,,,ExprRel_ -> [],,,,,,ExprRel_ -> [],,,,,,ExprRel_ -> MAIOR ExprAdd ExprRel_,ExprRel_ -> MAIORIGUAL ExprAdd ExprRel_,,ExprRel_ -> MENOR ExprAdd ExprRel_,ExprRel_ -> MENORIGUAL ExprAdd ExprRel_,,,,,,,ExprRel_ -> [],ExprRel_ -> [],,,,ExprRel_ -> [],,,,,ExprRel_ -> [],
ExprUnary,,ExprUnary -> Primary,,,,,,,ExprUnary -> Primary,,,ExprUnary -> Primary,,,,,,ExprUnary -> Primary,,,,,,,ExprUnary -> MENOS ExprUnary,,,ExprUnary -> NAO ExprUnary,ExprUnary -> Primary,ExprUnary -> Primary,,,,,,,,,,ExprUnary -> Primary,,
ForInitExpr,,,,,,,,,,,,ForInitExpr -> SimpleStmt,,,,,,,,,,,,,,,,,,,,ForInitExpr -> [],,,,,,,,,,
ForUpdateExpr,,,,,,,,,,,,ForUpdateExpr -> SimpleStmt,,,,,,,,,,,,,,,,,,,,,,,,ForUpdateExpr -> [],,,,,,
FuncDecl,,,,,,,,,,,FuncDecl -> FUNCAO ID LPAREN ParamList RPAREN Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MainDecl,,,,,,,,,,,,,,,,,,,MainDecl -> MAIN Block,,,,,,,,,,,,,,,,,,,,,,,
MatchedStmt,MatchedStmt -> VarDecl,,,,,MatchedStmt -> DO Stmt WHILE LPAREN Expr RPAREN PONTOEVIRG,,,,MatchedStmt -> FOR LPAREN ForInitExpr PONTOEVIRG Expr PONTOEVIRG ForUpdateExpr RPAREN MatchedStmt,,MatchedStmt -> SimpleStmt PONTOEVIRG,,,,MatchedStmt -> VarDecl,MatchedStmt -> Block,,,,,,,,,,,,,,,,,MatchedStmt -> VarDecl,MatchedStmt -> RETORNO Expr PONTOEVIRG,,,,MatchedStmt -> VarDecl,,,MatchedStmt -> WHILE LPAREN Expr RPAREN MatchedStmt
Param,Param -> Type ID,,,,,,,,,,,,,,,Param -> Type ID,,,,,,,,,,,,,,,,,,Param -> Type ID,,,,,Param -> Type ID,,,
ParamList,ParamList -> Param ParamList_,,,,,,,,,,,,,,,ParamList -> Param ParamList_,,,,,,,,,,,,,,,,,,ParamList -> Param ParamList_,,ParamList -> [],,,ParamList -> Param ParamList_,,,
ParamList_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ParamList_ -> [],,,,,ParamList_ -> VIRGULA Param ParamList_,
Primary,,Primary -> CADEIA,,,,,,,Primary -> FALSO,,,Primary -> ID PrimaryTail,,,,,,Primary -> LPAREN Expr RPAREN,,,,,,,,,,,Primary -> NUM_INT,Primary -> NUM_REAL,,,,,,,,,,Primary -> VERDADEIRO,,
PrimaryTail,,,PrimaryTail -> DECR,PrimaryTail -> [],PrimaryTail -> [],,,PrimaryTail -> [],,,,,,PrimaryTail -> [],PrimaryTail -> INCR,,,PrimaryTail -> LPAREN ArgList RPAREN,,PrimaryTail -> [],PrimaryTail -> [],PrimaryTail -> [],PrimaryTail -> [],PrimaryTail -> [],PrimaryTail -> [],PrimaryTail -> [],PrimaryTail -> [],,,,PrimaryTail -> [],PrimaryTail -> [],,,,PrimaryTail -> [],,,,,PrimaryTail -> [],
Program,Program -> DeclList,,,,,,,,,,Program -> DeclList,,,,,Program -> DeclList,,,Program -> DeclList,,,,,,,,,,,,,,,Program -> DeclList,,,,,Program -> DeclList,,,
SimpleStmt,,,,,,,,,,,,SimpleStmt -> ID SimpleStmtTail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SimpleStmtTail,,,SimpleStmtTail -> DECR,,,,,,,,,,SimpleStmtTail -> IGUAL Expr,,SimpleStmtTail -> INCR,,,SimpleStmtTail -> LPAREN ArgList RPAREN,,,,,,,,,,,,,,,,,,,,,,,,
Stmt,Stmt -> MatchedStmt,,,,,Stmt -> MatchedStmt,,,,Stmt -> MatchedStmt,,Stmt -> MatchedStmt,,,,Stmt -> MatchedStmt,Stmt -> MatchedStmt,,,,,,,,,,,,,,,,,Stmt -> MatchedStmt,Stmt -> MatchedStmt,,Stmt -> UnmatchedStmt,,Stmt -> MatchedStmt,,,Stmt -> MatchedStmt
StmtList,StmtList -> Stmt StmtList_,,,,,StmtList -> Stmt StmtList_,,,,StmtList -> Stmt StmtList_,,StmtList -> Stmt StmtList_,,,,StmtList -> Stmt StmtList_,StmtList -> Stmt StmtList_,,,,,,,,,,,,,,,,StmtList -> [],StmtList -> Stmt StmtList_,StmtList -> Stmt StmtList_,,StmtList -> Stmt StmtList_,,StmtList -> Stmt StmtList_,,,StmtList -> Stmt StmtList_
StmtList_,StmtList_ -> Stmt StmtList_,,,,,StmtList_ -> Stmt StmtList_,,,,StmtList_ -> Stmt StmtList_,,StmtList_ -> Stmt StmtList_,,,,StmtList_ -> Stmt StmtList_,StmtList_ -> Stmt StmtList_,,,,,,,,,,,,,,,,StmtList_ -> [],StmtList_ -> Stmt StmtList_,StmtList_ -> Stmt StmtList_,,StmtList_ -> Stmt StmtList_,,StmtList_ -> Stmt StmtList_,,,StmtList_ -> Stmt StmtList_
Type,Type -> BOOLEANO,,,,,,,,,,,,,,,Type -> INTEIRO,,,,,,,,,,,,,,,,,,Type -> REAL,,,,,Type -> TEXTO,,,
UnmatchedStmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UnmatchedStmt -> SE LPAREN Expr RPAREN MatchedStmt ElsePart,,,,,
VarDecl,VarDecl -> Type ID PONTOEVIRG,,,,,,,,,,,,,,,VarDecl -> Type ID PONTOEVIRG,,,,,,,,,,,,,,,,,,VarDecl -> Type ID PONTOEVIRG,,,,,VarDecl -> Type ID PONTOEVIRG,,,
